iter	Passed	Remaining
0	22	22210
1	44	22414
2	69	23052
3	93	23312
4	116	23151
5	139	23093
6	161	22975
7	183	22734
8	204	22538
9	226	22420
10	248	22303
11	269	22149
12	291	22108
13	313	22099
14	337	22135
15	360	22201
16	383	22177
17	405	22126
18	428	22099
19	450	22071
20	476	22236
21	501	22286
22	523	22243
23	547	22254
24	571	22304
25	593	22247
26	618	22288
27	641	22264
28	664	22251
29	689	22290
30	712	22279
31	735	22244
32	757	22202
33	781	22196
34	804	22179
35	830	22228
36	851	22153
37	872	22085
38	894	22034
39	917	22009
40	937	21936
41	958	21858
42	981	21837
43	1001	21766
44	1023	21729
45	1043	21649
46	1062	21539
47	1083	21497
48	1104	21437
49	1127	21416
50	1147	21355
51	1167	21290
52	1187	21222
53	1212	21232
54	1232	21178
55	1253	21132
56	1274	21086
57	1294	21024
58	1314	20960
59	1335	20918
60	1353	20839
61	1372	20770
62	1394	20734
63	1416	20716
64	1435	20647
65	1457	20627
66	1477	20568
67	1497	20525
68	1520	20512
69	1540	20465
70	1563	20454
71	1588	20470
72	1611	20469
73	1630	20408
74	1652	20381
75	1676	20379
76	1700	20386
77	1720	20338
78	1742	20312
79	1761	20259
80	1781	20212
81	1801	20172
82	1822	20133
83	1841	20078
84	1861	20041
85	1881	19995
86	1900	19947
87	1920	19906
88	1941	19868
89	1965	19870
90	1986	19842
91	2005	19791
92	2027	19768
93	2045	19716
94	2066	19687
95	2087	19659
96	2108	19624
97	2127	19580
98	2146	19536
99	2168	19517
100	2187	19470
101	2207	19437
102	2227	19400
103	2247	19364
104	2268	19335
105	2288	19302
106	2311	19287
107	2332	19266
108	2351	19225
109	2372	19195
110	2392	19160
111	2412	19123
112	2432	19095
113	2452	19059
114	2472	19028
115	2493	19005
116	2514	18974
117	2536	18956
118	2557	18930
119	2581	18933
120	2603	18912
121	2626	18902
122	2646	18873
123	2668	18849
124	2695	18868
125	2717	18853
126	2737	18819
127	2758	18790
128	2777	18750
129	2797	18722
130	2817	18687
131	2836	18650
132	2859	18637
133	2879	18610
134	2898	18571
135	2918	18541
136	2938	18512
137	2958	18481
138	2979	18456
139	2998	18420
140	3018	18389
141	3042	18381
142	3063	18360
143	3084	18335
144	3105	18312
145	3125	18281
146	3148	18269
147	3172	18261
148	3193	18237
149	3212	18205
150	3233	18177
151	3253	18148
152	3274	18127
153	3295	18106
154	3316	18082
155	3338	18061
156	3357	18027
157	3376	17995
158	3397	17969
159	3420	17956
160	3440	17929
161	3462	17909
162	3480	17872
163	3502	17851
164	3525	17842
165	3546	17816
166	3569	17805
167	3592	17791
168	3615	17775
169	3637	17759
170	3664	17766
171	3686	17747
172	3710	17735
173	3731	17715
174	3754	17699
175	3776	17680
176	3797	17655
177	3816	17623
178	3838	17605
179	3859	17581
180	3879	17552
181	3899	17524
182	3920	17503
183	3943	17487
184	3965	17467
185	3985	17441
186	4005	17412
187	4027	17394
188	4048	17372
189	4069	17346
190	4090	17324
191	4110	17298
192	4130	17269
193	4151	17246
194	4172	17223
195	4193	17199
196	4213	17175
197	4233	17147
198	4257	17135
199	4276	17106
200	4296	17080
201	4320	17066
202	4341	17046
203	4362	17021
204	4383	16999
205	4406	16983
206	4426	16958
207	4450	16945
208	4470	16918
209	4489	16889
210	4512	16873
211	4535	16860
212	4557	16838
213	4578	16817
214	4617	16860
215	4659	16911
216	4684	16904
217	4710	16897
218	4731	16875
219	4752	16848
220	4772	16823
221	4792	16796
222	4814	16773
223	4834	16749
224	4855	16723
225	4875	16697
226	4897	16675
227	4917	16650
228	4941	16636
229	4961	16611
230	4984	16593
231	5004	16566
232	5023	16537
