iter	Logloss
0	0.6728663241
1	0.653752959
2	0.6357984211
3	0.6187923223
4	0.6026996246
5	0.5874660157
6	0.5730959385
7	0.5594338618
8	0.5464440796
9	0.5341409392
10	0.5224090413
11	0.5112482094
12	0.5005744177
13	0.4904689216
14	0.4808575878
15	0.4716736741
16	0.4628657794
17	0.4545078527
18	0.4465592504
19	0.4389076555
20	0.4316340614
21	0.4246190214
22	0.4179324439
23	0.4116036738
24	0.4055904008
25	0.3997551529
26	0.3941101571
27	0.3887136671
28	0.3835383542
29	0.3785690108
30	0.3738383151
31	0.3693217598
32	0.3650307874
33	0.3609118877
34	0.3569020433
35	0.3530921029
36	0.3494353194
37	0.345880817
38	0.3424979914
39	0.3393225906
40	0.3361564771
41	0.3331419122
42	0.3302286677
43	0.3274663296
44	0.3247713041
45	0.3221966136
46	0.3197163146
47	0.3173386361
48	0.3150638563
49	0.3128929694
50	0.3108399641
51	0.3088009675
52	0.3068662404
53	0.3049970417
54	0.3032997104
55	0.3015561995
56	0.2998579366
57	0.2983261684
58	0.2967801323
59	0.295358343
60	0.2939585277
61	0.292651655
62	0.2913123211
63	0.2900490467
64	0.2888181442
65	0.2876491869
66	0.286504726
67	0.2853801007
68	0.2842987573
69	0.283278345
70	0.2822990265
71	0.2813589625
72	0.2804456497
73	0.2796127755
74	0.2787937233
75	0.2779921003
76	0.277203421
77	0.2764683167
78	0.2757683129
79	0.2750587338
80	0.2744494929
81	0.2737971594
82	0.2732151904
83	0.2726071341
84	0.2720371541
85	0.271497671
86	0.2709833686
87	0.270444174
88	0.2699418967
89	0.2695193308
90	0.269028607
91	0.2686072147
92	0.2682068351
93	0.2677900174
94	0.267421862
95	0.2670419354
96	0.2666340624
97	0.2662772943
98	0.2659418346
99	0.2655761288
