iter	Passed	Remaining
0	92	9200
1	181	8906
2	280	9077
3	373	8958
4	459	8733
5	549	8611
6	638	8480
7	724	8330
8	810	8190
9	893	8040
10	981	7943
11	1071	7854
12	1159	7757
13	1249	7676
14	1337	7579
15	1430	7507
16	1526	7453
17	1621	7385
18	1716	7319
19	1803	7212
20	1886	7098
21	1977	7011
22	2064	6910
23	2148	6802
24	2234	6702
25	2316	6593
26	2411	6519
27	2502	6434
28	2589	6339
29	2676	6246
30	2765	6156
31	2855	6067
32	2938	5966
33	3024	5870
34	3108	5773
35	3189	5669
36	3280	5585
37	3370	5499
38	3454	5403
39	3539	5308
40	3623	5215
41	3710	5123
42	3798	5035
43	3887	4948
44	3976	4859
45	4059	4765
46	4141	4670
47	4225	4577
48	4311	4487
49	4395	4395
50	4475	4300
51	4562	4211
52	4652	4125
53	4738	4036
54	4823	3946
55	4906	3855
56	4990	3764
57	5073	3673
58	5158	3584
59	5244	3496
60	5329	3407
61	5412	3317
62	5501	3231
63	5596	3147
64	5680	3058
65	5765	2970
66	5850	2881
67	5934	2792
68	6018	2703
69	6102	2615
70	6189	2527
71	6275	2440
72	6358	2351
73	6445	2264
74	6536	2178
75	6622	2091
76	6709	2004
77	6795	1916
78	6876	1827
79	6963	1740
80	7047	1653
81	7129	1565
82	7212	1477
83	7296	1389
84	7380	1302
85	7468	1215
86	7551	1128
87	7642	1042
88	7732	955
89	7816	868
90	7899	781
91	7984	694
92	8067	607
93	8152	520
94	8235	433
95	8319	346
96	8407	260
97	8493	173
98	8577	86
99	8660	0
